Sample,HMDB,KEGG ID,1N,2N,3N,4N,5N,6N,7N,8N,1V,2V,3V,4V,5V,6V,7V,8V
Label,,,abx + FMTCTR,abx + FMTCTR,abx + FMTCTR,abx + FMTCTR,abx + FMTCTR,abx + FMTCTR,abx + FMTCTR,abx + FMTCTR,abx + FMTDNBS,abx + FMTDNBS,abx + FMTDNBS,abx + FMTDNBS,abx + FMTDNBS,abx + FMTDNBS,abx + FMTDNBS,abx + FMTDNBS
Uridine di Phosphate - glucose,HMDB0000286,C00029,0.1092,0.1534,0.1638,0,0.0637,0,0.1066,0.0559,0,0.1586,0.169,0.1495,0,0.1404,0.104,0.2405
Cytidine,HMDB0000089,C00475,0,0,0.1092,0,0,0,0,0.3432,0,0.0312,0,0.0884,0,0.0416,0,0.0572
Cytidine mono Phosphate,HMDB0000095,C00055,0.5707,0.52,0.5109,0,0,0,0.6786,0,0,0.4992,0,0.6305,0.728,0.5876,0,0.1391
Deoxycytidine Mono Pphosphate,HMDB0001202,C00239,2.1554,1.7121,4.069,0,0,0,2.236,0,0,1.625,1.326,2.0878,3.1746,1.8278,0,0.6877
Adenosine,HMDB0000050,C00212,0.0442,0.0663,0.0598,0.0988,0.0455,0.0455,0.0702,0.0481,0.013,0.0325,0.0364,0.0273,0.0494,0.039,0.0234,0.0559
Adenosine Mono Phosphate,HMDB0000045,C00020,0.0442,0.0507,0.0195,0,0,0,0.0325,0.247,0,0.0585,0,0.0468,0.1274,0.0078,0.0169,0
Guanosine Tri Phosphate,HMDB0001273,C00044,0.2561,0.1846,0.1157,0.0923,0,0,0.2379,0.871,0.0338,0.3393,0.1183,0.2054,0.2964,0.208,0.0247,0.169
Inosine Tri  Phosphate,HMDB0000189,C00081,0.0923,0.0754,0.0949,0.065,0,0,0.0897,0.0377,0.0793,0.0741,0.0156,0.0715,0.1248,0.065,0,0.0182
Hypoxanthine,HMDB0000157,C00262,0.5915,0.4407,1.1115,1.1089,0.611,0.8281,0.5954,0.7007,1.9552,0.5447,0.6786,0.7293,0.7124,0.5499,0.6565,1.222
Xanthine,HMDB0000292,C00385,0.7124,0.4901,1.4027,1.7212,0.8918,1.0543,0.9997,0.9529,2.5467,0.4875,0.9529,0.9165,0.7241,0.8372,0.6994,1.4378
Xanthosine,HMDB0000299,C01762,0,0,0,0,0,0,0,0,0.0715,0,0,0,0.0117,0,0.0325,0.0299
